UniProt Accession for Protein Group,UniProt ID for Protein Group,UniProt Protein Description,Quantified Peptides,,Quantified PSMs (Rep 1),,Normalized TMT 10-plex reporter ion distribution (Replicate 1),,,,,,,,,,Normalized TMT 10-plex reporter ion distribution (Replicate 2),,,,,,,,,,Phenotype discovery and SVM classification of protein localization,,,,,,,,,Subcellular Curation,,,,,,,,
,,,Experiment 1,Experiment 2,Experiment 1,Experiment 2,126,127N,127C,128N,128C,129N,129C,130N,130C,131,126,127N,127C,128N,128C,129N,129C,130N,130C,131,phenoDisco Input,phenoDisco Output,Curated phenoDisco Output,SVM marker set,SVM classification,SVM score,SVM classification (top quartile),Final Localization Assignment,First localization evidence?,Curated Organelles,Cytoskeletal Components,Trafficking Proteins,Protein Complexes,Signaling Cascades,Oct4 Interactome,Nanog Interactome,Sox2 Interactome,Cell Surface Proteins
Q587J6,LITD1_MOUSE,LINE-1 type transposase domain-containing protein 1 OS=Mus musculus GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE],40,36,86,85,0.055,0.017,0.020,0.011,0.034,0.084,0.130,0.263,0.132,0.253,0.042,0.017,0.030,0.039,0.061,0.124,0.188,0.134,0.155,0.208,unknown,unknown,unknown,unknown,Peroxisome,0.357,unclassified,unclassified,Y,,,,,,Prey,,,
Q61739,ITA6_MOUSE,Integrin alpha-6 OS=Mus musculus GN=Itga6 PE=1 SV=3 - [ITA6_MOUSE],40,46,86,99,0.000,0.258,0.187,0.110,0.187,0.127,0.057,0.039,0.005,0.029,0.002,0.182,0.155,0.156,0.183,0.168,0.104,0.033,0.008,0.008,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,High Confidence
Q9Z1Q9,SYVC_MOUSE,Valine--tRNA ligase OS=Mus musculus GN=Vars PE=2 SV=1 - [SYVC_MOUSE],40,35,72,55,0.117,0.038,0.036,0.019,0.043,0.064,0.081,0.273,0.063,0.266,0.121,0.069,0.076,0.076,0.099,0.111,0.127,0.110,0.118,0.093,unknown,unknown,unknown,unknown,Peroxisome,0.209,unclassified,unclassified,N,,,,,,,,,
Q61595;Q61595-3;Q61595-5;Q61595-9,KTN1_MOUSE,Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1 - [KTN1_MOUSE]|Isoform 11 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 13 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 3 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 5 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 9 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE],40,3,69,3,0.000,0.021,0.032,0.028,0.082,0.280,0.200,0.170,0.037,0.150,0.000,0.000,0.034,0.111,0.212,0.280,0.201,0.096,0.065,0.000,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.803,unclassified,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,High Confidence
P63038,CH60_MOUSE,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]",39,43,165,295,0.000,0.020,0.021,0.014,0.032,0.097,0.282,0.271,0.010,0.252,0.002,0.012,0.016,0.020,0.027,0.103,0.358,0.311,0.015,0.137,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,Mitochondrion,,,
P08113,ENPL_MOUSE,Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE],39,40,96,178,0.025,0.054,0.064,0.051,0.155,0.259,0.143,0.141,0.000,0.108,0.020,0.046,0.082,0.126,0.186,0.264,0.174,0.081,0.005,0.016,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,Glucosidase II complex,,,,,
Q61316,HSP74_MOUSE,Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1 - [HSP74_MOUSE],39,39,80,97,0.609,0.106,0.104,0.039,0.059,0.032,0.014,0.014,0.011,0.012,0.520,0.089,0.110,0.082,0.081,0.057,0.026,0.011,0.014,0.010,unknown,Phenotype 5,Cytosol,Cytosol,Cytosol,1.000,Cytosol,Cytosol,Y,,,,,,,,,Non-Specific
P43247,MSH2_MOUSE,DNA mismatch repair protein Msh2 OS=Mus musculus GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE],39,33,73,61,0.152,0.008,0.018,0.005,0.012,0.029,0.078,0.316,0.101,0.281,0.224,0.020,0.034,0.028,0.034,0.056,0.114,0.175,0.199,0.116,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.469,unclassified,unclassified,N,,,,,,Prey,,,Non-Specific
Q69ZN7,MYOF_MOUSE,Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2 - [MYOF_MOUSE],39,42,63,74,0.000,0.090,0.209,0.157,0.288,0.115,0.055,0.050,0.000,0.035,0.002,0.057,0.128,0.224,0.284,0.176,0.083,0.031,0.007,0.008,unknown,unknown,unknown,unknown,Lysosome,0.781,Lysosome,Lysosome,N,,,,,,,,,
Q8VDJ3,VIGLN_MOUSE,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE],38,39,65,60,0.059,0.036,0.041,0.026,0.065,0.191,0.185,0.157,0.054,0.186,0.052,0.031,0.049,0.061,0.075,0.172,0.155,0.092,0.059,0.254,unknown,unknown,unknown,unknown,60S Ribosome,0.315,unclassified,unclassified,N,,,,,,,,,
Q61543,GSLG1_MOUSE,Golgi apparatus protein 1 OS=Mus musculus GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE],38,45,60,79,0.004,0.058,0.131,0.098,0.226,0.212,0.077,0.101,0.019,0.074,0.005,0.047,0.097,0.164,0.232,0.232,0.123,0.064,0.020,0.016,unknown,unknown,unknown,unknown,Extracellular matrix,0.489,Extracellular matrix,unclassified,N,,,,,,,,,
Q8CG47,SMC4_MOUSE,Structural maintenance of chromosomes protein 4 OS=Mus musculus GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE],38,41,58,62,0.106,0.036,0.036,0.019,0.035,0.055,0.103,0.234,0.132,0.244,0.085,0.044,0.047,0.051,0.060,0.079,0.108,0.152,0.189,0.186,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.261,unclassified,unclassified,N,,,,13S condensin complex,,,,,
Q62261;Q62261-2,SPTB2_MOUSE,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2 - [SPTB2_MOUSE]|Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 - [SPTB2_MOUSE]",38,5,56,5,0.000,0.125,0.074,0.034,0.077,0.189,0.178,0.132,0.080,0.113,0.000,0.038,0.056,0.076,0.063,0.530,0.170,0.067,0.000,0.000,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.182,unclassified,unclassified,N,,,,,,,,,High Confidence
Q6PDQ2,CHD4_MOUSE,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE],38,38,47,46,0.039,0.000,0.005,0.000,0.006,0.026,0.108,0.296,0.248,0.271,0.052,0.009,0.012,0.012,0.019,0.037,0.118,0.168,0.477,0.096,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.920,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,NuRD complex,,Prey,Prey,Prey,
P11103,ADP-ribose,Poly [ADP-ribose] polymerase 1 OS=Mus musculus GN=Parp1 PE=1 SV=3 - [PARP1_MOUSE],37,34,82,79,0.030,0.008,0.008,0.004,0.011,0.032,0.112,0.302,0.209,0.283,0.061,0.023,0.024,0.023,0.029,0.051,0.117,0.182,0.405,0.085,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.926,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
Q8K298,ANLN_MOUSE,Actin-binding protein anillin OS=Mus musculus GN=Anln PE=1 SV=2 - [ANLN_MOUSE],37,38,80,63,0.035,0.085,0.051,0.033,0.050,0.087,0.130,0.238,0.087,0.204,0.038,0.089,0.071,0.064,0.082,0.102,0.120,0.151,0.202,0.081,unknown,unknown,unknown,unknown,Mitochondrion,0.208,unclassified,unclassified,N,,,,,,,,,
P14873,MAP1B_MOUSE,Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE],37,33,60,49,0.081,0.037,0.028,0.014,0.025,0.049,0.135,0.279,0.108,0.244,0.113,0.098,0.103,0.085,0.075,0.094,0.102,0.136,0.151,0.043,unknown,unknown,unknown,unknown,Mitochondrion,0.202,unclassified,unclassified,N,,Microtubules,,,,,,,
Q8BI84,MIA3_MOUSE,Melanoma inhibitory activity protein 3 OS=Mus musculus GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE],37,57,59,86,0.000,0.041,0.050,0.048,0.122,0.316,0.158,0.140,0.008,0.118,0.002,0.035,0.071,0.122,0.192,0.293,0.161,0.091,0.010,0.022,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q3U1J4,DDB1_MOUSE,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE],37,29,53,40,0.451,0.078,0.075,0.032,0.048,0.032,0.030,0.090,0.081,0.082,0.398,0.077,0.085,0.069,0.075,0.057,0.048,0.043,0.103,0.046,unknown,unknown,unknown,unknown,Proteasome,0.495,unclassified,unclassified,N,,,,,,,,,
Q9JLN9,MTOR_MOUSE,Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2 - [MTOR_MOUSE],37,50,47,62,0.061,0.170,0.155,0.098,0.142,0.105,0.048,0.097,0.024,0.101,0.037,0.113,0.148,0.176,0.184,0.133,0.067,0.037,0.026,0.079,unknown,unknown,unknown,unknown,Plasma membrane,0.253,unclassified,unclassified,N,,,,,,,,,
P42932,TCPQ_MOUSE,T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE],36,31,76,76,0.446,0.122,0.105,0.049,0.075,0.048,0.023,0.043,0.022,0.066,0.329,0.105,0.113,0.096,0.102,0.072,0.043,0.023,0.027,0.091,unknown,unknown,unknown,unknown,Cytosol,0.543,unclassified,unclassified,N,,,,CCT complex,,,,,
P17426-2,AP2A1_MOUSE,Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 - [AP2A1_MOUSE],36,24,65,52,0.037,0.208,0.112,0.081,0.140,0.154,0.102,0.074,0.031,0.062,0.030,0.117,0.105,0.110,0.141,0.193,0.170,0.043,0.033,0.058,unknown,unknown,unknown,unknown,Plasma membrane,0.215,unclassified,unclassified,N,Vesicles - AP2,,,,,,,,
Q8CGC7,SYEP_MOUSE,Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4 - [SYEP_MOUSE],36,53,57,77,0.630,0.067,0.086,0.023,0.041,0.046,0.027,0.027,0.021,0.034,0.423,0.071,0.094,0.074,0.083,0.076,0.052,0.023,0.030,0.075,unknown,unknown,unknown,unknown,Proteasome,0.802,Proteasome,unclassified,Y,,,,,,,,Prey,
P09103,PDIA1_MOUSE,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE],35,36,105,117,0.028,0.063,0.079,0.052,0.133,0.269,0.132,0.133,0.006,0.106,0.026,0.056,0.084,0.116,0.191,0.262,0.166,0.073,0.009,0.018,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,Glucosidase II complex,,,,,
Q78PY7,SND1_MOUSE,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1 - [SND1_MOUSE],35,36,79,79,0.031,0.039,0.042,0.031,0.085,0.200,0.142,0.158,0.040,0.233,0.019,0.041,0.055,0.065,0.094,0.169,0.149,0.079,0.048,0.280,unknown,unknown,unknown,unknown,60S Ribosome,0.340,unclassified,unclassified,N,,,,,,,,,Non-Specific
P57780,ACTN4_MOUSE,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE],35,34,68,74,0.173,0.267,0.149,0.086,0.143,0.104,0.033,0.016,0.019,0.011,0.175,0.162,0.136,0.132,0.150,0.127,0.071,0.020,0.017,0.009,unknown,Phenotype 9,Actin cytoskeleton,Actin cytoskeleton,Actin cytoskeleton,1.000,Actin cytoskeleton,Actin cytoskeleton,N,,,,,,,,,
P08003,PDIA4_MOUSE,Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE],34,32,85,91,0.025,0.060,0.066,0.051,0.136,0.277,0.139,0.132,0.006,0.109,0.021,0.043,0.087,0.119,0.183,0.288,0.150,0.083,0.009,0.017,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
P14733,LMNB1_MOUSE,Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE],34,36,82,86,0.006,0.013,0.014,0.008,0.019,0.036,0.114,0.316,0.176,0.297,0.009,0.029,0.040,0.058,0.083,0.082,0.132,0.229,0.274,0.064,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.669,unclassified,Nucleus - Chromatin,N,Nucleus - Lamina,,,,,,,,
Q9JKR6,HYOU1_MOUSE,Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE],34,33,75,76,0.018,0.049,0.063,0.053,0.125,0.287,0.165,0.132,0.005,0.104,0.019,0.047,0.087,0.113,0.183,0.278,0.164,0.082,0.006,0.020,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,,,,,,
Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 - [TERA_MOUSE],34,34,72,72,0.478,0.084,0.098,0.043,0.093,0.083,0.032,0.036,0.022,0.030,0.400,0.087,0.105,0.096,0.103,0.090,0.047,0.025,0.029,0.017,unknown,unknown,unknown,unknown,Cytosol,0.659,unclassified,Cytosol,N,,,,,,,,,
Q64737,PUR2_MOUSE,Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3 - [PUR2_MOUSE],34,26,67,52,0.446,0.154,0.129,0.056,0.075,0.046,0.020,0.030,0.012,0.032,0.412,0.101,0.118,0.101,0.097,0.061,0.036,0.019,0.018,0.038,unknown,Phenotype 5,unknown,unknown,Cytosol,0.890,Cytosol,Cytosol,Y,,,,,,,,,Non-Specific
Q8K2Z4,CND1_MOUSE,Condensin complex subunit 1 OS=Mus musculus GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE],34,34,47,48,0.112,0.036,0.030,0.018,0.032,0.046,0.072,0.284,0.102,0.268,0.085,0.054,0.053,0.050,0.069,0.080,0.124,0.158,0.183,0.143,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.281,unclassified,unclassified,N,,,,13S condensin complex,,,,,
P26041,MOES_MOUSE,Moesin OS=Mus musculus GN=Msn PE=1 SV=3 - [MOES_MOUSE],33,31,75,58,0.017,0.341,0.225,0.124,0.157,0.074,0.024,0.018,0.008,0.012,0.021,0.237,0.163,0.187,0.170,0.112,0.054,0.019,0.019,0.019,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q8K411-2,PREP_MOUSE,"Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 - [PREP_MOUSE]",33,37,60,60,0.001,0.016,0.016,0.013,0.028,0.094,0.323,0.252,0.021,0.234,0.003,0.012,0.015,0.019,0.029,0.101,0.374,0.276,0.032,0.139,unknown,Mitochondrion,unknown,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P28660,NCKP1_MOUSE,Nck-associated protein 1 OS=Mus musculus GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE],33,36,59,56,0.033,0.330,0.184,0.121,0.146,0.086,0.033,0.029,0.013,0.026,0.026,0.227,0.159,0.168,0.153,0.111,0.062,0.025,0.033,0.037,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q6GQT9,NOMO1_MOUSE,Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE],33,39,58,64,0.000,0.039,0.048,0.037,0.107,0.257,0.163,0.180,0.026,0.144,0.001,0.042,0.067,0.102,0.149,0.267,0.204,0.099,0.037,0.032,unknown,Endoplasmic reticulum/Golgi apparatus,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.943,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Y,,,,,,,,,
P63017,HSP7C_MOUSE,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE],32,26,91,87,0.467,0.124,0.101,0.044,0.073,0.048,0.021,0.034,0.054,0.036,0.366,0.101,0.109,0.098,0.100,0.078,0.043,0.024,0.053,0.027,unknown,unknown,unknown,unknown,Cytosol,0.713,unclassified,Cytosol,N,,,,,,,,,
Q3V3R1,C1TM_MOUSE,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",32,36,89,99,0.000,0.013,0.015,0.014,0.030,0.091,0.307,0.274,0.017,0.239,0.001,0.010,0.015,0.019,0.027,0.105,0.337,0.324,0.026,0.136,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
P35564,CALX_MOUSE,Calnexin OS=Mus musculus GN=Canx PE=1 SV=1 - [CALX_MOUSE],32,30,83,75,0.000,0.075,0.070,0.054,0.128,0.235,0.144,0.158,0.005,0.132,0.002,0.077,0.097,0.129,0.188,0.235,0.143,0.096,0.010,0.022,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,Glucosidase II complex,,,,,Non-Specific
P26040,EZRI_MOUSE,Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3 - [EZRI_MOUSE],32,27,76,77,0.020,0.301,0.194,0.121,0.151,0.092,0.039,0.037,0.020,0.027,0.020,0.219,0.178,0.167,0.159,0.116,0.060,0.026,0.033,0.021,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,
Q91V92,ACLY_MOUSE,ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1 - [ACLY_MOUSE],32,37,62,65,0.416,0.147,0.118,0.057,0.073,0.045,0.023,0.042,0.027,0.053,0.355,0.097,0.113,0.097,0.094,0.067,0.040,0.019,0.054,0.065,unknown,unknown,unknown,unknown,Cytosol,0.781,unclassified,Cytosol,N,,,,,,,,,
Q6P9P6,KIF11_MOUSE,Kinesin-like protein KIF11 OS=Mus musculus GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE],32,34,61,57,0.067,0.042,0.035,0.019,0.036,0.084,0.136,0.268,0.076,0.236,0.054,0.048,0.049,0.049,0.064,0.109,0.158,0.154,0.176,0.139,unknown,unknown,unknown,unknown,Peroxisome,0.361,unclassified,unclassified,N,,Kinesins,,,,,,,
Q8BKG3,PTK7_MOUSE,Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE],32,31,60,54,0.001,0.293,0.192,0.115,0.181,0.106,0.046,0.039,0.002,0.026,0.005,0.209,0.154,0.158,0.180,0.146,0.101,0.028,0.011,0.008,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,Plasma membrane,1.000,Plasma membrane,Plasma membrane,N,,,,,,,,,Non-Specific
Q9CQN1,TRAP1_MOUSE,"Heat shock protein 75 kDa, mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]",32,26,57,50,0.001,0.016,0.018,0.013,0.035,0.087,0.218,0.324,0.010,0.277,0.002,0.012,0.016,0.020,0.028,0.104,0.371,0.289,0.019,0.139,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,,,,,,
Q02053,UBA1_MOUSE,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE],32,35,56,65,0.604,0.101,0.112,0.044,0.056,0.032,0.011,0.015,0.010,0.014,0.518,0.078,0.114,0.081,0.082,0.051,0.027,0.013,0.016,0.020,unknown,Phenotype 5,unknown,unknown,Cytosol,0.623,unclassified,Cytosol,Y,,,,,,,,,High Confidence
P39447,ZO1_MOUSE,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE],32,42,53,65,0.037,0.199,0.130,0.083,0.119,0.153,0.097,0.066,0.060,0.056,0.031,0.124,0.110,0.104,0.123,0.201,0.144,0.048,0.060,0.056,unknown,unknown,unknown,unknown,Plasma membrane,0.230,unclassified,unclassified,N,,,,,,,,,Non-Specific
P80314,TCPB_MOUSE,T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE],32,28,52,54,0.416,0.132,0.109,0.049,0.070,0.043,0.019,0.057,0.022,0.083,0.300,0.105,0.105,0.090,0.097,0.073,0.044,0.026,0.032,0.128,unknown,unknown,unknown,unknown,Cytosol,0.362,unclassified,unclassified,N,,,,CCT complex,,,,,
P23249,MOV10_MOUSE,Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE],32,26,50,41,0.146,0.031,0.038,0.017,0.034,0.077,0.101,0.187,0.128,0.240,0.091,0.028,0.038,0.038,0.055,0.089,0.130,0.092,0.116,0.322,unknown,unknown,unknown,unknown,60S Ribosome,0.569,60S Ribosome,unclassified,Y,,,,P-body,,,Prey,,
P08775,RPB1_MOUSE,DNA-directed RNA polymerase II subunit RPB1 OS=Mus musculus GN=Polr2a PE=1 SV=3 - [RPB1_MOUSE],32,24,44,32,0.231,0.011,0.028,0.005,0.017,0.028,0.067,0.200,0.220,0.194,0.256,0.026,0.041,0.028,0.031,0.045,0.060,0.078,0.284,0.151,unknown,unknown,unknown,unknown,Nucleus - Non-chromatin,0.475,unclassified,unclassified,N,,,,,,,Prey,,
Q3UIL6-2,PKHA7_MOUSE,Isoform 2 of Pleckstrin homology domain-containing family A member 7 OS=Mus musculus GN=Plekha7 - [PKHA7_MOUSE],32,35,44,49,0.033,0.186,0.128,0.076,0.126,0.144,0.097,0.091,0.047,0.072,0.027,0.122,0.096,0.092,0.115,0.180,0.191,0.053,0.058,0.067,unknown,unknown,unknown,unknown,Endoplasmic reticulum/Golgi apparatus,0.227,unclassified,unclassified,N,,,,,,,,,
Q03265,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",31,35,108,139,0.000,0.016,0.023,0.014,0.035,0.094,0.261,0.248,0.076,0.234,0.001,0.013,0.013,0.018,0.026,0.086,0.338,0.287,0.088,0.130,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,Mitochondrion,1.000,Mitochondrion,Mitochondrion,N,,,,ATP synthase,,,,,
Q91YQ5,RPN1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE],31,30,69,57,0.000,0.040,0.054,0.037,0.101,0.220,0.146,0.194,0.043,0.165,0.001,0.046,0.079,0.104,0.146,0.228,0.189,0.117,0.060,0.030,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,1.000,Endoplasmic reticulum/Golgi apparatus,Endoplasmic reticulum/Golgi apparatus,N,,,,Oligosacchyltransferase complex (OST),,,,,
P37913,DNLI1_MOUSE,DNA ligase 1 OS=Mus musculus GN=Lig1 PE=1 SV=2 - [DNLI1_MOUSE],31,23,59,34,0.189,0.010,0.023,0.000,0.010,0.028,0.100,0.296,0.074,0.270,0.306,0.024,0.044,0.024,0.030,0.046,0.085,0.214,0.114,0.111,unknown,unknown,unknown,unknown,Mitochondrion,0.257,unclassified,unclassified,N,,,,,,,,,
Q60864,STIP1_MOUSE,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE],31,35,59,68,0.581,0.114,0.103,0.046,0.057,0.047,0.017,0.014,0.009,0.011,0.456,0.108,0.121,0.094,0.095,0.059,0.032,0.011,0.013,0.010,unknown,Phenotype 5,unknown,unknown,Cytosol,0.777,unclassified,Cytosol,N,,,,,,,,,High Confidence
Q8BK67,RCC2_MOUSE,Protein RCC2 OS=Mus musculus GN=Rcc2 PE=2 SV=1 - [RCC2_MOUSE],31,21,57,37,0.091,0.019,0.024,0.008,0.020,0.035,0.087,0.282,0.180,0.253,0.098,0.027,0.036,0.032,0.039,0.054,0.091,0.128,0.359,0.137,unknown,Phenotype 1,Nucleus - Chromatin,Nucleus - Chromatin,Nucleus - Chromatin,1.000,Nucleus - Chromatin,Nucleus - Chromatin,N,,,,,,,,,
Q61191,HCFC1_MOUSE,Host cell factor 1 OS=Mus musculus GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE],31,30,52,44,0.155,0.013,0.020,0.004,0.015,0.029,0.073,0.204,0.278,0.209,0.138,0.016,0.024,0.019,0.024,0.037,0.068,0.089,0.412,0.171,unknown,unknown,unknown,unknown,Nucleus - Chromatin,0.475,unclassified,unclassified,N,,,,,,Prey,Prey,,
